LAT,LON
53.8178,1.5428
53.8083,1.5311
53.8334,1.5002
53.8109,1.7633
53.8179,1.5325
53.4324,2.2506
53.8001,1.7721
53.6544,1.78
53.4599,2.2225
53.7117,1.8736
53.79,1.764
53.8085,1.6715
53.8228,1.5781
