lon,lat,count,
106.694687,26.564808,474,
106.633034,26.676849,454,
106.713478,26.578342,317,
106.654526,26.592924,316,
106.873672,26.732695,309,
106.669342,26.583996,285,
106.671478,26.59326,264,
106.713478,26.578342,258,
106.762123,26.630928,236,
106.689247,26.558886,228,
106.723953,26.60166,226,
106.713478,26.578342,206,
106.638451,26.605957,189,
106.704147,26.550171,179,
106.699753,26.588825,165,
106.665817,26.428902,163,
106.732704,26.505184,152,
106.698158,26.565378,138,
106.691338,26.559229,137,
106.684227,26.559587,124,
106.725754,26.4655,123,
106.720016,26.602135,119,
106.896339,27.172375,118,
106.681549,26.508089,117,
106.873672,26.732695,110,
106.645348,26.612413,106,
106.73774,26.560503,100,
106.705215,26.573921,97,
106.620247,26.600557,97,
106.658134,26.612556,97,
106.711037,26.522951,97,
106.696487,26.583597,95,
106.766891,26.640644,85,
106.696014,26.593328,84,
106.978302,27.046478,82,
106.713478,26.578342,82,
106.718407,26.600471,79,
106.651634,26.577604,78,
106.721497,26.585793,77,
106.763489,27.23316,77,
106.709,26.565374,77,
106.747734,26.593128,76,
106.641769,26.655354,76,
106.730026,26.57564,76,
106.706802,26.652107,75,
106.712852,26.573538,75,
106.713478,26.578342,74,
106.697357,26.509306,74,
106.724426,26.560286,73,
106.711052,26.600554,71,
106.697136,26.47839,70,
106.713478,26.578342,69,
106.62365,26.628647,63,
106.713478,26.578342,63,
106.713478,26.578342,63,
106.713478,26.578342,63,
106.697884,26.574417,62,
106.623993,26.63793,62,
106.677254,26.520472,61,
106.707085,26.601982,58,
106.713478,26.578342,57,
106.715965,26.573742,56,
106.688431,26.529491,56,
106.75296,26.406002,55,
106.712433,26.580194,55,
106.766083,26.611912,53,
106.525711,27.142696,53,
106.713478,26.578342,53,
106.713394,26.58301,53,
106.728828,26.571405,52,
106.704315,26.586245,51,
106.709991,26.594919,51,
106.713478,26.578342,50,
106.713478,26.578342,49,
106.655052,26.674282,48,
106.611702,26.624043,48,
106.614334,26.68811,48,
106.713478,26.578342,47,
106.605652,26.612225,46,
106.641747,26.682751,45,
106.701881,26.609137,45,
106.695511,26.581831,44,
106.661522,26.7216,43,
106.705109,26.574856,43,
106.680786,26.582808,43,
106.696823,26.538803,43,
106.649704,26.645582,43,
106.727692,26.571327,42,
106.670891,26.685125,42,
106.713478,26.578342,41,
106.692215,26.562237,41,
106.715981,26.590023,41,
106.676643,26.496195,41,
106.731934,26.61758,41,
106.642616,26.673193,39,
106.774536,26.551966,39,
106.660149,26.508476,38,
106.713478,26.578342,38,
106.718697,26.565548,38,
106.713478,26.578342,38,
106.624535,26.676973,37,
106.739235,26.557919,36,
106.778557,26.539078,36,
106.713478,26.578342,36,
106.726768,26.562946,36,
106.62632,26.646358,35,
106.713478,26.578342,35,
106.718422,26.564392,35,
106.682396,26.624092,34,
106.71302,26.563467,34,
106.684654,26.579327,34,
106.713478,26.578342,33,
106.763489,27.23316,33,
106.734818,26.545599,32,
106.660477,26.595093,32,
106.702072,26.585878,32,
106.71608,26.577761,32,
106.732834,26.596632,31,
106.758774,26.597473,31,
106.713478,26.578342,31,
106.753036,26.630733,31,
106.523735,26.572842,31,
106.663452,26.65098,31,
106.517258,27.110754,31,
106.714729,26.584965,31,
106.764801,26.567093,31,
106.71743,26.576881,30,
106.707787,26.579903,30,
106.694511,26.558603,30,
106.713478,26.578342,30,
106.721954,26.562857,29,
106.713478,26.578342,29,
106.668823,26.582987,29,
106.631378,26.603106,29,
106.713478,26.578342,29,
106.689568,26.530468,29,
106.721703,26.598305,28,
106.717667,26.575972,28,
106.69828,26.577724,28,
106.713478,26.578342,28,
106.693703,26.524946,28,
106.713478,26.578342,28,
106.59021,26.628883,27,
106.622475,26.620193,27,
106.710976,26.567781,27,
106.733955,26.57468,27,
106.74025,26.486959,26,
106.903244,27.221123,26,
106.71936,26.508871,26,
106.718956,26.586994,25,
106.707787,26.507906,25,
106.71003,26.577393,25,
106.74044,26.555471,24,
106.677208,26.413132,24,
106.816856,26.638985,24,
106.711456,26.53347,24,
106.64225,26.660774,23,
106.70562,26.577229,23,
106.713058,26.578451,23,
106.713478,26.578342,22,
106.610023,26.64571,22,
106.703644,26.614153,22,
106.713478,26.578342,22,
106.658195,26.661566,21,
106.696579,26.508501,21,
106.724365,26.606714,21,
106.713478,26.578342,21,
106.712418,26.580004,21,
106.700302,26.567163,20,
106.626633,26.623713,20,
106.666161,26.58716,20,
106.713478,26.578342,20,
106.758904,26.56374,20,
106.710014,26.558208,20,
106.873672,26.732695,20,
106.714592,26.611828,20,
106.610336,26.634024,20,
106.680328,26.502781,20,
106.634766,26.645092,19,
106.633003,26.65469,19,
106.713478,26.578342,19,
106.624344,26.707096,18,
106.708229,26.548107,18,
106.713478,26.578342,18,
106.746574,26.564716,18,
106.559959,26.444769,17,
106.694687,26.564808,17,
106.725113,26.614103,17,
106.523735,26.572842,17,
106.587845,26.655788,17,
106.719147,26.582823,17,
106.62429,26.670687,17,
106.896339,27.172375,17,
106.611488,26.623804,17,
106.608017,26.652376,17,
106.691994,26.571043,17,
106.525185,26.683924,16,
106.660118,26.555899,16,
106.686081,26.550331,16,
106.618156,26.691158,16,
106.903244,27.221123,16,
106.696671,26.577744,16,
106.7332,26.460752,16,
106.735039,26.56225,16,
106.706207,26.553402,16,
106.722481,26.610085,16,
106.717857,26.572397,16,
106.695183,26.518324,16,
106.713478,26.578342,16,
106.711815,26.557262,16,
106.587257,26.609522,15,
